area_type,availability,location,bath,balcony,price,total_sqft_int,bhk,price_per_sqft
Built-up  Area,Ready To Move,Doddathoguru,2.0,2.0,30.0,1100.0,2.0,2727.2727272727275
Built-up  Area,Ready To Move,Doddathoguru,3.0,1.0,45.0,1370.0,3.0,3284.6715328467153
Built-up  Area,Ready To Move,Doddathoguru,2.0,2.0,50.0,1295.0,2.0,3861.003861003861
Super built-up  Area,Ready To Move,Doddathoguru,3.0,1.0,65.0,1340.0,2.0,4850.746268656716
Built-up  Area,Ready To Move,Doddathoguru,2.0,3.0,44.0,1115.0,1.0,3946.188340807175
Super built-up  Area,Ready To Move,Dodsworth Layout,2.0,2.0,80.0,1405.0,1.0,5693.950177935943
Super built-up  Area,19-Dec,Dodsworth Layout,3.0,2.0,99.0,1830.0,3.0,5409.836065573771
Super built-up  Area,Ready To Move,Dodsworth Layout,3.0,2.0,115.0,1858.0,5.0,6189.4510226049515
Super built-up  Area,Ready To Move,Dodsworth Layout,2.0,3.0,85.0,2072.0,4.0,4102.316602316602
Plot  Area,Ready To Move,Dodsworth Layout,3.0,2.0,410.0,1125.0,2.0,36444.444444444445
Super built-up  Area,Ready To Move,Dodsworth Layout,2.0,1.0,71.0,1230.0,2.0,5772.357723577235
Super built-up  Area,Ready To Move,Dollars Colony,2.0,3.0,65.0,1200.0,3.0,5416.666666666667
Built-up  Area,Ready To Move,Dollars Colony,3.0,2.0,280.0,3019.0,2.0,9274.594236502153
Super built-up  Area,Ready To Move,Dollars Layout,3.0,2.0,88.0,2002.0,3.0,4395.604395604396
Plot  Area,Ready To Move,Dollars Layout,4.0,1.0,760.0,1355.0,3.0,56088.56088560886
Super built-up  Area,Ready To Move,Domlur,3.0,2.0,90.0,1330.0,3.0,6766.917293233083
Super built-up  Area,20-Dec,Domlur,2.0,1.0,217.0,1200.0,3.0,18083.333333333332
Super built-up  Area,Ready To Move,Domlur,2.0,2.0,85.0,1144.0,2.0,7430.06993006993
Super built-up  Area,Ready To Move,Domlur,3.0,1.0,135.0,1135.0,2.0,11894.273127753304
Super built-up  Area,Ready To Move,Domlur,3.0,0.0,120.0,1700.0,2.0,7058.823529411765
Built-up  Area,Ready To Move,Domlur,3.0,2.0,125.0,1200.0,3.0,10416.666666666666
Super built-up  Area,Ready To Move,Domlur,2.0,1.0,95.0,1515.0,3.0,6270.62706270627
Super built-up  Area,Ready To Move,Domlur,3.0,2.0,145.0,800.0,2.0,18125.0
Super built-up  Area,Ready To Move,Domlur,3.0,1.0,180.0,1252.0,3.0,14376.996805111821
Super built-up  Area,Ready To Move,Domlur,3.0,1.5843757375501535,235.0,1660.0,2.0,14156.626506024097
Super built-up  Area,19-Aug,Dommasandra,2.0,1.0,22.14,1110.0,2.0,1994.5945945945946
Super built-up  Area,19-Aug,Dommasandra,2.0,2.0,25.53,1570.0,2.0,1626.1146496815286
Super built-up  Area,Ready To Move,Dommasandra,2.0,2.0,50.0,1500.0,2.0,3333.3333333333335
Super built-up  Area,19-Dec,Dommasandra,2.0,2.0,31.5,1300.0,3.0,2423.076923076923
Super built-up  Area,Ready To Move,Dommasandra,2.0,2.0,43.5,1093.0,2.0,3979.871912168344
Super built-up  Area,18-Dec,Dommasandra,2.0,1.0,25.4,1200.0,2.0,2116.6666666666665
Super built-up  Area,Ready To Move,Dommasandra,2.0,2.0,32.9,2495.0,4.0,1318.6372745490983
Super built-up  Area,18-Aug,Doopanahalli,2.0,1.0,100.0,1050.0,3.0,9523.809523809523
Built-up  Area,Ready To Move,Doopanahalli,2.0,1.0,200.0,2792.0,2.0,7163.323782234957
Carpet  Area,Ready To Move,Doopanahalli,3.0,1.0,150.0,1750.0,2.0,8571.42857142857
Super built-up  Area,Ready To Move,Dooravani Nagar,3.0,1.0,105.0,1395.0,3.0,7526.881720430108
Super built-up  Area,Ready To Move,EPIP Zone,2.0,2.0,82.0,1225.0,2.0,6693.877551020408
Super built-up  Area,Ready To Move,EPIP Zone,3.0,3.0,102.0,1590.0,2.0,6415.094339622641
Built-up  Area,Ready To Move,EPIP Zone,2.0,1.0,65.0,1053.4,2.0,6170.4955382570715
Super built-up  Area,Ready To Move,EPIP Zone,3.0,3.0,125.0,1207.0,3.0,10356.255178127589
Super built-up  Area,Ready To Move,EPIP Zone,2.0,2.0,86.0,1047.0,2.0,8213.944603629418
Built-up  Area,Ready To Move,EPIP Zone,3.0,1.0,80.0,1750.0,2.0,4571.428571428572
Built-up  Area,Ready To Move,EPIP Zone,3.0,1.0,268.0,2380.0,2.0,11260.504201680673
Built-up  Area,Ready To Move,EPIP Zone,2.0,2.0,65.0,1269.0,2.0,5122.14342001576
Built-up  Area,Ready To Move,Ejipura,3.0,0.0,110.0,1435.0,3.0,7665.505226480836
Plot  Area,Ready To Move,Ejipura,2.0,1.0,70.0,1100.0,2.0,6363.636363636364
Super built-up  Area,Ready To Move,Ejipura,2.0,1.0,70.0,1050.0,3.0,6666.666666666667
Super built-up  Area,Ready To Move,Ejipura,3.0,3.0,135.0,1494.0,2.0,9036.144578313253
Super built-up  Area,Ready To Move,Ejipura,3.0,3.0,95.0,975.0,2.0,9743.589743589744
Built-up  Area,Ready To Move,Ejipura,2.0,1.0,60.0,840.0,2.0,7142.857142857143
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,64.5,1470.0,3.0,4387.755102040816
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,64.5,1550.0,3.0,4161.290322580645
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,56.0,1500.0,3.0,3733.3333333333335
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,52.0,1340.0,2.0,3880.597014925373
Built-up  Area,Ready To Move,Electronic City,2.0,1.0,46.0,1200.0,2.0,3833.3333333333335
Built-up  Area,Ready To Move,Electronic City,2.0,2.0,42.0,1080.0,2.0,3888.8888888888887
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,63.0,1075.0,2.0,5860.46511627907
Super built-up  Area,18-Apr,Electronic City,3.0,2.0,99.0,2845.0,3.0,3479.7891036906854
Built-up  Area,18-Dec,Electronic City,2.0,1.0,32.49,810.0,2.0,4011.1111111111113
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,42.0,1202.0,3.0,3494.1763727121465
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,55.0,1177.5,1.0,4670.912951167728
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,41.0,1176.0,3.0,3486.394557823129
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,68.75,1200.0,3.0,5729.166666666667
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,73.3,1360.0,1.0,5389.705882352941
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,71.0,1015.0,2.0,6995.073891625616
Super built-up  Area,18-Dec,Electronic City,2.0,0.0,56.93,1162.0,3.0,4899.311531841652
Super built-up  Area,18-Aug,Electronic City,2.0,1.0,65.49,1170.0,3.0,5597.435897435897
Built-up  Area,Ready To Move,Electronic City,3.0,2.0,62.0,1255.0,3.0,4940.239043824701
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,56.1,1280.0,3.0,4382.8125
Super built-up  Area,18-May,Electronic City,2.0,1.0,65.65,1420.0,2.0,4623.239436619719
Built-up  Area,Ready To Move,Electronic City,2.0,0.0,42.0,804.1,2.0,5223.230941425196
Built-up  Area,Ready To Move,Electronic City,2.0,1.0,75.0,1200.0,3.0,6250.0
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,54.0,1230.0,2.0,4390.243902439024
Super built-up  Area,18-Jan,Electronic City,3.0,2.0,89.0,1875.0,3.0,4746.666666666667
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,72.0,1050.0,1.0,6857.142857142857
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,45.0,1300.0,1.0,3461.5384615384614
Super built-up  Area,18-Aug,Electronic City,2.0,1.0,65.35,1194.0,2.0,5473.199329983248
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,65.0,1194.0,3.0,5443.886097152429
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,40.0,5600.0,1.0,714.2857142857143
Super built-up  Area,Ready To Move,Electronic City,3.0,2.0,70.0,1140.0,3.0,6140.350877192983
Super built-up  Area,Ready To Move,Electronic City,3.0,2.0,58.0,1065.0,2.0,5446.0093896713615
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,70.5,1700.0,3.0,4147.058823529412
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,45.0,1280.0,3.0,3515.625
Built-up  Area,18-Jan,Electronic City,3.0,2.0,104.0,2400.0,3.0,4333.333333333333
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,55.0,1304.0,3.0,4217.791411042945
Super built-up  Area,17-Apr,Electronic City,2.0,2.0,44.0,1124.0,2.0,3914.5907473309608
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,65.5,7000.0,8.0,935.7142857142857
Super built-up  Area,18-Mar,Electronic City,2.0,1.0,65.75,1200.0,3.0,5479.166666666667
Super built-up  Area,18-Dec,Electronic City,3.0,0.0,45.03,975.0,2.0,4618.461538461538
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,58.0,1015.0,2.0,5714.285714285715
Super built-up  Area,Ready To Move,Electronic City,1.0,1.0,15.0,1457.0,1.0,1029.512697323267
Super built-up  Area,20-Dec,Electronic City,2.0,1.0,59.32,1302.0,2.0,4556.067588325653
Super built-up  Area,Ready To Move,Electronic City,3.0,2.0,90.0,1810.0,2.0,4972.375690607735
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,58.0,1470.0,2.0,3945.578231292517
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,79.0,1200.0,3.0,6583.333333333333
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,42.0,1016.0,2.0,4133.858267716535
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,67.15,1548.3,3.0,4337.014790415295
Built-up  Area,Ready To Move,Electronic City,2.0,1.0,51.0,1160.0,2.0,4396.551724137931
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,58.0,1500.0,1.0,3866.6666666666665
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,52.0,1200.0,2.0,4333.333333333333
Super built-up  Area,20-Dec,Electronic City,4.0,3.0,119.0,2328.0,6.0,5111.683848797251
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,60.0,1035.0,2.0,5797.101449275362
Super built-up  Area,21-Dec,Electronic City,2.0,1.0,70.93,1450.0,2.0,4891.724137931035
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,39.95,1310.0,1.0,3049.6183206106875
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,53.9,1200.0,2.0,4491.666666666667
Built-up  Area,Ready To Move,Electronic City,2.0,1.0,54.0,1395.0,2.0,3870.967741935484
Super built-up  Area,18-Mar,Electronic City,2.0,1.0,77.5,1436.0,3.0,5396.935933147633
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,67.0,1155.0,2.0,5800.865800865801
Built-up  Area,Ready To Move,Electronic City,2.0,1.0,63.0,1100.0,2.0,5727.272727272727
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,64.0,1200.0,3.0,5333.333333333333
Built-up  Area,Ready To Move,Electronic City,2.0,1.5843757375501535,78.0,1200.0,2.0,6500.0
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,44.1,1050.0,2.0,4200.0
Built-up  Area,Ready To Move,Electronic City,2.0,1.0,39.0,850.0,2.0,4588.235294117647
Super built-up  Area,18-Aug,Electronic City,2.0,1.0,65.58,1585.0,3.0,4137.539432176656
Super built-up  Area,18-Aug,Electronic City,2.0,1.0,65.4,1409.0,4.0,4641.589779985806
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,38.0,2250.0,6.0,1688.888888888889
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,72.9,1800.0,3.0,4050.0000000000005
Super built-up  Area,18-Jul,Electronic City,2.0,2.0,30.0,1919.0,1.0,1563.314226159458
Built-up  Area,Ready To Move,Electronic City,2.0,2.0,35.0,4800.0,1.0,729.1666666666666
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,63.0,1100.0,3.0,5727.272727272727
Built-up  Area,Ready To Move,Electronic City,2.0,0.0,35.0,1056.0,3.0,3314.3939393939395
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,70.0,1200.0,2.0,5833.333333333333
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,65.45,1073.0,3.0,6099.720410065238
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,58.0,1300.0,1.0,4461.538461538462
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,42.0,1103.0,3.0,3807.7969174977334
Built-up  Area,Ready To Move,Electronic City,3.0,1.0,55.0,1081.0,2.0,5087.881591119334
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,50.0,1092.0,2.0,4578.754578754579
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,72.0,1626.6,3.0,4426.4109184802655
Built-up  Area,Ready To Move,Electronic City,3.0,1.0,70.0,1205.0,3.0,5809.128630705394
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,39.9,1210.0,3.0,3297.5206611570247
Built-up  Area,Ready To Move,Electronic City,2.0,1.0,62.0,1691.0,3.0,3666.4695446481373
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,64.8,1545.0,2.0,4194.174757281553
Super built-up  Area,Ready To Move,Electronic City,2.0,3.0,75.0,1214.0,3.0,6177.924217462933
Super built-up  Area,18-Jul,Electronic City,2.0,1.0,67.0,1261.0,3.0,5313.243457573354
Built-up  Area,Ready To Move,Electronic City,2.0,1.0,55.0,1464.0,3.0,3756.8306010928964
Built-up  Area,17-Jun,Electronic City,2.0,1.0,60.0,1344.0,3.0,4464.285714285715
Plot  Area,Ready To Move,Electronic City,4.0,1.0,125.0,2200.0,3.0,5681.818181818182
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,68.0,1260.0,3.0,5396.825396825397
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,63.5,1170.0,2.0,5427.350427350428
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,70.0,1881.0,3.0,3721.424774056353
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,64.5,943.0,2.0,6839.872746553552
Super built-up  Area,19-Dec,Electronic City Phase II,2.0,1.0,39.07,1056.0,2.0,3699.810606060606
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,2.0,45.0,1417.0,2.0,3175.7233592095977
Super built-up  Area,18-May,Electronic City Phase II,2.0,1.0,35.23,1150.0,3.0,3063.478260869565
Super built-up  Area,18-Jul,Electronic City Phase II,2.0,1.0,25.0,1028.0,2.0,2431.906614785992
Super built-up  Area,18-May,Electronic City Phase II,1.0,1.0,40.0,823.0,2.0,4860.267314702309
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,2.0,38.0,1937.0,2.0,1961.7965926690758
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,2.0,59.0,1650.0,3.0,3575.757575757576
Built-up  Area,18-Aug,Electronic City Phase II,3.0,1.0,35.23,950.0,2.0,3708.4210526315783
Super built-up  Area,18-May,Electronic City Phase II,2.0,2.0,40.43,1600.0,4.0,2526.875
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,56.35,1260.0,2.0,4472.222222222223
Super built-up  Area,18-Jul,Electronic City Phase II,2.0,1.0,75.0,1400.0,4.0,5357.142857142857
Super built-up  Area,18-May,Electronic City Phase II,2.0,1.0,62.78,1920.0,3.0,3269.7916666666665
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,61.25,1451.5,3.0,4219.77264898381
Built-up  Area,Ready To Move,Electronic City Phase II,3.0,3.0,100.0,3785.0,2.0,2642.007926023778
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,40.0,1255.0,2.0,3187.2509960159364
Super built-up  Area,18-May,Electronic City Phase II,2.0,2.0,40.43,1250.0,2.0,3234.4
Super built-up  Area,18-Apr,Electronic City Phase II,2.0,2.0,41.0,1097.0,2.0,3737.46581586144
Carpet  Area,18-May,Electronic City Phase II,2.0,2.0,50.0,1400.0,4.0,3571.4285714285716
Super built-up  Area,18-May,Electronic City Phase II,3.0,2.0,52.47,1300.0,3.0,4036.153846153846
Built-up  Area,18-Aug,Electronic City Phase II,2.0,1.0,37.83,1100.0,2.0,3439.090909090909
Built-up  Area,18-Aug,Electronic City Phase II,2.0,1.0,33.06,1200.0,2.0,2755.0
Super built-up  Area,18-May,Electronic City Phase II,2.0,2.0,40.44,1700.0,2.0,2378.823529411765
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,2.0,37.0,1554.3,2.0,2380.492826352699
Super built-up  Area,18-May,Electronic City Phase II,2.0,1.0,28.88,1550.0,2.0,1863.225806451613
Super built-up  Area,18-Aug,Electronic City Phase II,2.0,1.0,28.88,1243.0,2.0,2323.411102172164
Built-up  Area,18-Jul,Electronic City Phase II,2.0,1.0,30.29,1458.0,2.0,2077.5034293552812
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,53.0,1710.0,3.0,3099.4152046783624
Super built-up  Area,19-Dec,Electronic City Phase II,2.0,2.0,48.33,975.0,1.0,4956.923076923077
Built-up  Area,18-Aug,Electronic City Phase II,2.0,1.0,30.88,2968.0,2.0,1040.4312668463613
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,61.26,1752.12,2.0,3496.3358674063425
Built-up  Area,16-Oct,Electronic City Phase II,2.0,3.0,65.0,1920.0,2.0,3385.4166666666665
Built-up  Area,Ready To Move,Electronic City Phase II,2.0,2.0,40.0,1200.0,3.0,3333.3333333333335
Built-up  Area,18-Aug,Electronic City Phase II,2.0,1.0,32.49,1245.0,2.0,2609.6385542168673
Built-up  Area,Ready To Move,Electronic City Phase II,3.0,3.0,46.0,1275.0,3.0,3607.843137254902
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,3.0,47.0,1050.0,2.0,4476.190476190476
Super built-up  Area,Ready To Move,Electronic City Phase II,3.0,3.0,50.0,1050.0,2.0,4761.9047619047615
Built-up  Area,Ready To Move,Electronic City Phase II,3.0,1.0,97.0,1842.0,2.0,5266.015200868621
Built-up  Area,18-Aug,Electronic City Phase II,2.0,1.0,29.45,1470.0,2.0,2003.4013605442176
Super built-up  Area,18-May,Electronic City Phase II,2.0,1.0,32.49,1225.0,1.0,2652.2448979591836
Super built-up  Area,18-May,Electronic City Phase II,2.0,1.0,34.65,1305.0,2.0,2655.1724137931033
Super built-up  Area,18-Jun,Electronic City Phase II,2.0,1.0,55.0,5384.0,6.0,1021.5453194650818
Built-up  Area,18-Aug,Electronic City Phase II,2.0,1.0,33.51,1200.0,1.0,2792.5
Built-up  Area,18-Aug,Electronic City Phase II,3.0,1.0,35.25,1680.0,2.0,2098.214285714286
Built-up  Area,18-Dec,Electronic City Phase II,2.0,1.0,33.51,1251.0,2.0,2678.6570743405277
Super built-up  Area,18-May,Electronic City Phase II,2.0,2.0,40.45,1100.0,2.0,3677.2727272727275
Built-up  Area,18-Jul,Electronic City Phase II,2.0,1.0,31.48,1100.0,2.0,2861.818181818182
Built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,57.0,1200.0,3.0,4750.0
Built-up  Area,Ready To Move,Electronic City Phase II,2.0,2.0,28.0,2030.0,2.0,1379.3103448275863
Built-up  Area,18-Aug,Electronic City Phase II,2.0,1.0,29.6,1145.0,2.0,2585.1528384279477
Super built-up  Area,18-Apr,Electronic City Phase II,2.0,1.0,34.0,1850.0,1.0,1837.837837837838
Super built-up  Area,18-May,Electronic City Phase II,2.0,1.0,37.84,1270.0,2.0,2979.5275590551187
Built-up  Area,18-Aug,Electronic City Phase II,2.0,2.0,40.43,1197.0,3.0,3377.6106934001673
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,65.0,1210.0,2.0,5371.900826446281
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,2.0,46.0,960.0,2.0,4791.666666666667
Super built-up  Area,18-May,Electronic City Phase II,2.0,3.0,50.35,2321.0,2.0,2169.323567427833
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,49.82,1594.0,2.0,3125.4705144291092
Built-up  Area,18-Aug,Electronic City Phase II,2.0,1.0,30.75,1070.0,2.0,2873.8317757009345
Built-up  Area,18-Dec,Electronic City Phase II,2.0,1.0,33.06,3895.0,2.0,848.780487804878
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,26.5,1040.0,2.0,2548.076923076923
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,54.48,1410.0,2.0,3863.8297872340427
Built-up  Area,Ready To Move,Electronic City Phase II,1.0,1.0,28.0,1200.0,2.0,2333.3333333333335
Super built-up  Area,18-May,Electronic City Phase II,2.0,1.0,37.83,1140.0,2.0,3318.4210526315787
Built-up  Area,21-Dec,"Electronic city Phase 1, ",3.0,2.0,58.0,3913.0,4.0,1482.238691541017
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,45.5,1070.0,2.0,4252.336448598131
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,2.0,51.47,1320.0,3.0,3899.242424242424
Super built-up  Area,Ready To Move,Electronics City Phase 1,1.0,1.0,39.0,1300.0,2.0,3000.0
Super built-up  Area,19-Dec,Electronics City Phase 1,2.0,1.0,52.0,1060.0,2.0,4905.66037735849
Super built-up  Area,Ready To Move,Electronics City Phase 1,3.0,1.0,55.0,1100.0,2.0,5000.0
Super built-up  Area,21-Aug,Electronics City Phase 1,2.0,2.0,39.0,1100.0,1.0,3545.4545454545455
Built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,56.0,1850.0,2.0,3027.027027027027
Built-up  Area,Ready To Move,Electronics City Phase 1,2.0,0.0,46.0,829.0,2.0,5548.854041013269
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,2.0,55.0,1645.0,2.0,3343.4650455927053
Built-up  Area,Ready To Move,Electronics City Phase 1,2.0,2.0,49.0,1100.0,3.0,4454.545454545455
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,2.0,55.0,1041.0,2.0,5283.381364073007
Built-up  Area,Ready To Move,Electronics City Phase 1,2.0,0.0,42.0,1200.0,2.0,3500.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,49.8,1225.0,3.0,4065.3061224489797
Built-up  Area,Ready To Move,Electronics City Phase 1,1.0,0.0,26.0,1205.0,2.0,2157.6763485477177
Super built-up  Area,18-Dec,Electronics City Phase 1,2.0,2.0,64.98,1200.0,2.0,5415.0
Super built-up  Area,19-Dec,Electronics City Phase 1,2.0,2.0,59.76,1151.0,3.0,5192.006950477846
Super built-up  Area,18-Mar,Electronics City Phase 1,2.0,1.0,54.0,1250.0,3.0,4320.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,2.0,65.0,1920.0,2.0,3385.4166666666665
Super built-up  Area,Ready To Move,Electronics City Phase 1,1.0,0.0,42.5,780.0,2.0,5448.717948717948
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,50.0,1192.0,2.0,4194.6308724832215
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,75.0,1510.0,3.0,4966.887417218543
Built-up  Area,Ready To Move,Electronics City Phase 1,2.0,0.0,40.0,1392.0,2.0,2873.5632183908046
Super built-up  Area,Ready To Move,Electronics City Phase 1,3.0,3.0,40.0,1232.0,2.0,3246.753246753247
Super built-up  Area,17-Jun,Electronics City Phase 1,3.0,1.0,70.0,1707.0,3.0,4100.761570005859
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,2.0,63.51,1300.0,3.0,4885.384615384615
Super built-up  Area,18-Dec,Electronics City Phase 1,3.0,2.0,58.0,1140.0,2.0,5087.7192982456145
Super built-up  Area,18-Jul,Electronics City Phase 1,2.0,2.0,60.0,1398.0,2.0,4291.845493562232
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,48.0,1125.0,2.0,4266.666666666667
Super built-up  Area,17-May,Electronics City Phase 1,2.0,1.0,44.0,1245.0,2.0,3534.136546184739
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,67.0,2040.0,5.0,3284.3137254901962
Built-up  Area,Ready To Move,Electronics City Phase 1,2.0,2.0,46.0,1080.0,3.0,4259.259259259259
Super built-up  Area,20-Apr,Electronics City Phase 1,2.0,1.0,24.95,933.0,2.0,2674.1693461950695
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,2.0,44.0,1270.0,2.0,3464.566929133858
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.5843757375501535,40.0,1153.0,2.0,3469.210754553339
Built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,33.0,1500.0,2.0,2200.0
Super built-up  Area,18-May,Electronics City Phase 1,2.0,2.0,60.0,2400.0,2.0,2500.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1.0,1.0,45.0,1280.0,2.0,3515.625
Super built-up  Area,Ready To Move,Electronics City Phase 1,3.0,2.0,85.0,1719.0,3.0,4944.735311227458
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,60.0,1200.0,3.0,5000.0
Plot  Area,Ready To Move,Esther Enclave Layout,2.0,0.0,68.0,1290.0,2.0,5271.3178294573645
Super built-up  Area,Ready To Move,Ferrar Nagar,3.0,2.0,185.0,1065.0,3.0,17370.89201877934
Super built-up  Area,Ready To Move,Frazer Town,2.0,1.0,75.0,996.0,1.0,7530.120481927711
Super built-up  Area,Ready To Move,Frazer Town,3.0,1.0,180.0,1080.0,3.0,16666.666666666668
Super built-up  Area,Ready To Move,Frazer Town,3.0,3.0,185.0,1840.0,2.0,10054.347826086956
Super built-up  Area,Ready To Move,Frazer Town,3.0,2.0,150.0,1525.0,2.0,9836.065573770491
Built-up  Area,Ready To Move,Frazer Town,4.0,2.0,330.0,1929.0,3.0,17107.309486780716
Plot  Area,Ready To Move,Frazer Town,2.0,0.0,423.0,1862.0,3.0,22717.50805585392
Super built-up  Area,Ready To Move,Frazer Town,3.0,2.0,265.0,1382.0,2.0,19175.108538350218
Super built-up  Area,Ready To Move,Frazer Town,3.0,1.5843757375501535,288.0,1550.0,2.0,18580.645161290322
Super built-up  Area,Ready To Move,Frazer Town,3.0,3.0,154.0,1075.0,3.0,14325.581395348838
Plot  Area,18-Feb,Frazer Town,1.0,0.0,90.0,1170.0,2.0,7692.307692307692
Super built-up  Area,Ready To Move,Frazer Town,4.0,2.0,325.0,1250.0,3.0,26000.0
Super built-up  Area,20-Jul,Frazer Town,3.0,3.0,350.0,3000.0,2.0,11666.666666666666
Super built-up  Area,Ready To Move,Frazer Town,3.0,3.0,180.0,1200.0,2.0,15000.0
Built-up  Area,Ready To Move,Friends Colony,2.0,1.0,75.0,1035.0,2.0,7246.376811594203
Built-up  Area,Ready To Move,Friends Colony,2.0,2.0,44.0,1187.0,1.0,3706.8239258635217
Super built-up  Area,Ready To Move,GD Layout,2.0,2.0,68.0,1385.0,2.0,4909.747292418772
Built-up  Area,Ready To Move,GM Palaya,2.0,2.0,65.0,1350.0,3.0,4814.814814814815
Built-up  Area,Ready To Move,GM Palaya,2.0,1.0,60.0,1200.0,3.0,5000.0
Super built-up  Area,Ready To Move,GM Palaya,3.0,1.0,65.0,1200.0,3.0,5416.666666666667
Super built-up  Area,Ready To Move,GM Palaya,2.0,2.0,70.0,1200.0,2.0,5833.333333333333
Super built-up  Area,Ready To Move,GM Palaya,1.0,1.0,35.0,1270.0,3.0,2755.9055118110236
Plot  Area,Ready To Move,Ganesha Block,2.0,1.0,300.0,1767.0,2.0,16977.92869269949
